index,question,answer
620,Reading helps improve my vocabulary.,Reading helps improve my vocabulary.
621,"I read a lot of mystery novels, very thrilling.","I read a lot of mystery novels, they are very thrilling."
622,"This book very funny, I laugh until stomach pain.","This book is very funny, I laughed until my stomach hurt."
623,"I like to read with a cup of tea, very relaxing.","I like to read with a cup of tea, it's very relaxing."
624,"I read this book twice, still very good.","I read this book twice, it's still very good."
625,Reading helps me to improve my writing skills.,Reading helps me to improve my writing skills.
626,I always read the book reviews before buying.,I always read the book reviews before buying.
627,"This book very touching, I cry a few times.","This book is very touching, I cried a few times."
628,"I like to read in the morning, start the day right.","I like to read in the morning, it starts the day right."
629,I read a lot of books during my free time.,I read a lot of books during my free time.
630,"This book very inspiring, make me want to do more.","This book is very inspiring, it makes me want to do more."
631,"I like to read biographies, learn about people's lives.","I like to read biographies, I learn about people's lives."
632,Reading helps me to improve my concentration.,Reading helps me to improve my concentration.
633,"I read this book when I was young, still remember the story.","I read this book when I was young, I still remember the story."
634,"I like to read in the library, very quiet.","I like to read in the library, it's very quiet."
635,"This book very educational, learn a lot of new things.","This book is very educational, I learned a lot of new things."
636,"I read a lot of fantasy novels, very imaginative.","I read a lot of fantasy novels, they are very imaginative."
637,Reading helps me to improve my general knowledge.,Reading helps me to improve my general knowledge.
638,"I like to read in bed, very comfortable.","I like to read in bed, it's very comfortable."
639,"This book very suspenseful, cannot stop reading.","This book is very suspenseful, I can't stop reading."
640,"I read a lot of science fiction, very futuristic.","I read a lot of science fiction, it's very futuristic."
641,Reading helps me to improve my imagination.,Reading helps me to improve my imagination.
642,"I like to read in the afternoon, good way to relax.","I like to read in the afternoon, it's a good way to relax."
643,"This book very motivational, make me want to achieve more.","This book is very motivational, it makes me want to achieve more."
644,"I read a lot of historical novels, very informative.","I read a lot of historical novels, they are very informative."
645,Reading helps me to improve my critical thinking.,Reading helps me to improve my critical thinking.
646,"I like to read in the evening, good way to unwind.","I like to read in the evening, it's a good way to unwind."
647,"This book very heartwarming, make me feel good.","This book is very heartwarming, it makes me feel good."
648,"I read a lot of romance novels, very sweet.","I read a lot of romance novels, they are very sweet."
649,Reading helps me to improve my empathy.,Reading helps me to improve my empathy.
650,"I like to read in the garden, very refreshing.","I like to read in the garden, it's very refreshing."
651,"This book very thrilling, keep me on the edge of my seat.","This book is very thrilling, it keeps me on the edge of my seat."
652,"I read a lot of adventure novels, very exciting.","I read a lot of adventure novels, they are very exciting."
653,Reading helps me to improve my focus.,Reading helps me to improve my focus.
654,"I like to read in the balcony, very nice view.","I like to read on the balcony, it has a very nice view."
655,"This book very dramatic, full of emotions.","This book is very dramatic, it's full of emotions."
656,"I read a lot of horror novels, very scary.","I read a lot of horror novels, they are very scary."
657,Reading helps me to improve my analytical skills.,Reading helps me to improve my analytical skills.
658,"I like to read in the living room, very cozy.","I like to read in the living room, it's very cozy."
659,"This book very philosophical, make me think a lot.","This book is very philosophical, it makes me think a lot."
660,"I read a lot of self-help books, very useful.","I read a lot of self-help books, they are very useful."
661,Reading helps me to improve my comprehension.,Reading helps me to improve my comprehension.
662,"I like to read in the cafe, very nice atmosphere.","I like to read in the cafe, it has a very nice atmosphere."
663,"This book very poetic, beautiful language.","This book is very poetic, it has beautiful language."
664,"I read a lot of classic literature, very enriching.","I read a lot of classic literature, it's very enriching."
665,Reading helps me to improve my creativity.,Reading helps me to improve my creativity.
666,"I like to read in the library, very conducive.","I like to read in the library, it's very conducive."
667,"This book very humorous, make me laugh a lot.","This book is very humorous, it makes me laugh a lot."
668,"I read a lot of drama novels, very engaging.","I read a lot of drama novels, they are very engaging."
669,Reading helps me to improve my patience.,Reading helps me to improve my patience.
670,"I like to read in the study room, very quiet.","I like to read in the study room, it's very quiet."
671,"This book very insightful, learn a lot of new perspectives.","This book is very insightful, I learned a lot of new perspectives."
672,"I read a lot of young adult novels, very relatable.","I read a lot of young adult novels, they are very relatable."
673,Reading helps me to improve my memory.,Reading helps me to improve my memory.
674,I like to read in the office during lunch break.,I like to read in the office during lunch break.
675,"This book very captivating, cannot stop reading.","This book is very captivating, I can't stop reading."
676,"I read a lot of contemporary novels, very modern.","I read a lot of contemporary novels, they are very modern."
677,Reading helps me to improve my understanding.,Reading helps me to improve my understanding.
678,I like to read in the car during long journeys.,I like to read in the car during long journeys.
679,"This book very emotional, make me cry a lot.","This book is very emotional, it made me cry a lot."
680,"I read a lot of graphic novels, very visual.","I read a lot of graphic novels, they are very visual."
681,Reading helps me to improve my perspective.,Reading helps me to improve my perspective.
682,"I like to read in the garden, very calming.","I like to read in the garden, it's very calming."
683,"This book very thought-provoking, make me reflect a lot.","This book is very thought-provoking, it makes me reflect a lot."
684,"I read a lot of dystopian novels, very intriguing.","I read a lot of dystopian novels, they are very intriguing."
685,Reading helps me to improve my language skills.,Reading helps me to improve my language skills.
686,"I like to read in the hammock, very relaxing.","I like to read in the hammock, it's very relaxing."
687,"This book very engaging, keep me hooked.","This book is very engaging, it keeps me hooked."
688,"I read a lot of short stories, very concise.","I read a lot of short stories, they are very concise."
689,Reading helps me to improve my attention to detail.,Reading helps me to improve my attention to detail.
690,"I like to read in the sunroom, very bright.","I like to read in the sunroom, it's very bright."
691,"This book very enlightening, open my mind.","This book is very enlightening, it opens my mind."
692,"I read a lot of memoirs, very personal.","I read a lot of memoirs, they are very personal."
693,Reading helps me to improve my cognitive skills.,Reading helps me to improve my cognitive skills.
694,"I like to read in the attic, very quiet.","I like to read in the attic, it's very quiet."
695,"This book very informative, learn a lot.","This book is very informative, I learned a lot."
696,"I read a lot of thrillers, very suspenseful.","I read a lot of thrillers, they are very suspenseful."
697,Reading helps me to improve my mental agility.,Reading helps me to improve my mental agility.
698,"I like to read in the basement, very secluded.","I like to read in the basement, it's very secluded."
699,"This book very captivating, cannot put down.","This book is very captivating, I can't put it down."
700,"I read a lot of detective novels, very intriguing.","I read a lot of detective novels, they are very intriguing."
701,"Wah, this floor so dirty ah.","Wow, this floor is so dirty."
702,Can you help me sweep the floor?,Can you help me sweep the floor?
703,"Aiyo, the dishes piling up already.","Oh dear, the dishes are piling up already."
704,"Don't forget to mop the kitchen, okay?","Don't forget to mop the kitchen, okay?"
705,"Eh, you vacuum the carpet already or not?","Hey, have you vacuumed the carpet yet?"
706,I need to wipe the windows later.,I need to wipe the windows later.
707,Can you pass me the broom?,Can you pass me the broom?
708,The bathroom needs a good scrub.,The bathroom needs a good scrub.
709,Don't forget to take out the trash.,Don't forget to take out the trash.
710,I think we need more detergent.,I think we need more detergent.
711,Can you help me clean the fan?,Can you help me clean the fan?
712,The laundry basket is full again.,The laundry basket is full again.
713,I need to iron my clothes later.,I need to iron my clothes later.
714,Can you wipe the table before dinner?,Can you wipe the table before dinner?
715,"The sink is clogged, need to fix it.","The sink is clogged, it needs to be fixed."
716,Don't forget to clean the fridge.,Don't forget to clean the fridge.
717,Can you help me dust the shelves?,Can you help me dust the shelves?
718,"The windows are so dirty, cannot see outside.","The windows are so dirty, I can't see outside."
719,I need to clean the stove after cooking.,I need to clean the stove after cooking.
720,Can you help me fold the clothes?,Can you help me fold the clothes?
721,"The floor is sticky, need to mop again.","The floor is sticky, it needs to be mopped again."
722,Don't forget to clean the microwave.,Don't forget to clean the microwave.
723,Can you help me wash the car?,Can you help me wash the car?
724,The curtains need to be washed.,The curtains need to be washed.
725,Can you help me clean the aircon filter?,Can you help me clean the air conditioner filter?
726,The garden needs some weeding.,The garden needs some weeding.
727,Can you help me polish the furniture?,Can you help me polish the furniture?
728,"The floor is dusty, need to sweep.","The floor is dusty, it needs to be swept."
729,Don't forget to clean the oven.,Don't forget to clean the oven.
730,Can you help me clean the bathroom tiles?,Can you help me clean the bathroom tiles?
731,"The kitchen counter is messy, need to tidy up.","The kitchen counter is messy, it needs to be tidied up."
732,Can you help me clean the mirrors?,Can you help me clean the mirrors?
733,The laundry needs to be done.,The laundry needs to be done.
734,Don't forget to clean the ceiling fan.,Don't forget to clean the ceiling fan.
735,Can you help me clean the blinds?,Can you help me clean the blinds?
736,"The floor is wet, be careful.","The floor is wet, be careful."
737,Can you help me clean the light fixtures?,Can you help me clean the light fixtures?
738,"The kitchen sink is dirty, need to scrub.","The kitchen sink is dirty, it needs to be scrubbed."
739,Can you help me clean the toilet?,Can you help me clean the toilet?
740,The floor needs to be swept.,The floor needs to be swept.
741,Don't forget to clean the shower head.,Don't forget to clean the shower head.
742,Can you help me clean the windowsills?,Can you help me clean the windowsills?
743,"The floor is dirty, need to mop.","The floor is dirty, it needs to be mopped."
744,Can you help me clean the baseboards?,Can you help me clean the baseboards?
745,"The kitchen floor is sticky, need to clean.","The kitchen floor is sticky, it needs to be cleaned."
746,Can you help me clean the countertops?,Can you help me clean the countertops?
747,"The floor is dusty, need to mop.","The floor is dusty, it needs to be mopped."
748,Don't forget to clean the dishwasher.,Don't forget to clean the dishwasher.
749,Can you help me clean the stovetop?,Can you help me clean the stovetop?
750,"The floor is dirty, need to sweep.","The floor is dirty, it needs to be swept."
751,Can you help me clean the cabinets?,Can you help me clean the cabinets?
752,"The floor is sticky, need to mop.","The floor is sticky, it needs to be mopped."
753,Don't forget to clean the sink.,Don't forget to clean the sink.
754,Can you help me clean the fridge shelves?,Can you help me clean the fridge shelves?
755,"The floor is dusty, need to sweep.","The floor is dusty, it needs to be swept."
756,Can you help me clean the oven racks?,Can you help me clean the oven racks?
757,"The floor is dirty, need to mop.","The floor is dirty, it needs to be mopped."
758,Can you help me clean the microwave?,Can you help me clean the microwave?
759,"The floor is sticky, need to sweep.","The floor is sticky, it needs to be swept."
760,Don't forget to clean the countertops.,Don't forget to clean the countertops.
761,Can you help me clean the bathroom sink?,Can you help me clean the bathroom sink?
762,"The floor is dusty, need to mop.","The floor is dusty, it needs to be mopped."
763,Can you help me clean the shower?,Can you help me clean the shower?
764,"The floor is dirty, need to sweep.","The floor is dirty, it needs to be swept."
765,Can you help me clean the toilet bowl?,Can you help me clean the toilet bowl?
766,"The floor is sticky, need to mop.","The floor is sticky, it needs to be mopped."
767,Don't forget to clean the bathroom mirror.,Don't forget to clean the bathroom mirror.
768,Can you help me clean the bathtub?,Can you help me clean the bathtub?
769,"The floor is dusty, need to sweep.","The floor is dusty, it needs to be swept."
770,Can you help me clean the bathroom floor?,Can you help me clean the bathroom floor?
771,"The floor is dirty, need to mop.","The floor is dirty, it needs to be mopped."
772,Can you help me clean the bathroom walls?,Can you help me clean the bathroom walls?
773,"The floor is sticky, need to sweep.","The floor is sticky, it needs to be swept."
774,Don't forget to clean the bathroom tiles.,Don't forget to clean the bathroom tiles.
775,Can you help me clean the bathroom fixtures?,Can you help me clean the bathroom fixtures?
776,"The floor is dusty, need to mop.","The floor is dusty, it needs to be mopped."
777,Can you help me clean the bathroom sink?,Can you help me clean the bathroom sink?
778,"The floor is dirty, need to sweep.","The floor is dirty, it needs to be swept."
779,Can you help me clean the bathroom mirror?,Can you help me clean the bathroom mirror?
780,"The floor is sticky, need to mop.","The floor is sticky, it needs to be mopped."
781,Don't forget to clean the bathroom floor.,Don't forget to clean the bathroom floor.
782,Can you help me clean the bathroom walls?,Can you help me clean the bathroom walls?
783,"The floor is dusty, need to sweep.","The floor is dusty, it needs to be swept."
784,Can you help me clean the bathroom fixtures?,Can you help me clean the bathroom fixtures?
785,"The floor is dirty, need to mop.","The floor is dirty, it needs to be mopped."
786,Can you help me clean the bathroom tiles?,Can you help me clean the bathroom tiles?
787,"The floor is sticky, need to sweep.","The floor is sticky, it needs to be swept."
788,Don't forget to clean the bathroom sink.,Don't forget to clean the bathroom sink.
789,Can you help me clean the bathroom mirror?,Can you help me clean the bathroom mirror?
790,"The floor is dusty, need to mop.","The floor is dusty, it needs to be mopped."
791,Can you help me clean the bathroom floor?,Can you help me clean the bathroom floor?
792,"The floor is dirty, need to sweep.","The floor is dirty, it needs to be swept."
793,Can you help me clean the bathroom walls?,Can you help me clean the bathroom walls?
794,"The floor is sticky, need to mop.","The floor is sticky, it needs to be mopped."
795,Don't forget to clean the bathroom fixtures.,Don't forget to clean the bathroom fixtures.
796,Can you help me clean the bathroom tiles?,Can you help me clean the bathroom tiles?
797,"The floor is dusty, need to sweep.","The floor is dusty, it needs to be swept."
798,Can you help me clean the bathroom sink?,Can you help me clean the bathroom sink?
799,"The floor is dirty, need to mop.","The floor is dirty, it needs to be mopped."
800,Can you help me clean the bathroom mirror?,Can you help me clean the bathroom mirror?
801,"Wah, this shirt so nice leh!","Wow, this shirt is so nice!"
802,Can give discount or not?,Can you give a discount?
803,I think this one cheaper at another shop.,I think this one is cheaper at another shop.
804,"Aiyo, why so expensive?","Oh my, why is it so expensive?"
805,Got size M for this dress?,Do you have this dress in size M?
806,This one got warranty or not?,Does this come with a warranty?
807,Can try first before buy?,Can I try it before buying?
808,I want to buy this for my friend.,I want to buy this for my friend.
809,Got free gift with purchase?,Is there a free gift with purchase?
810,This one got promotion now?,Is this on promotion now?
811,Can pay by card?,Can I pay by card?
812,"I need a plastic bag, can?",Can I have a plastic bag?
813,This one got stock or not?,Is this in stock?
814,I want to return this item.,I want to return this item.
815,Can exchange if wrong size?,Can I exchange it if it's the wrong size?
816,This one got how many colours?,How many colours does this come in?
817,"I need a receipt, please.","I need a receipt, please."
818,Can reserve this item for me?,Can you reserve this item for me?
819,Got member discount?,Is there a member discount?
820,This one got how many GB?,How many GB does this have?
821,Can deliver to my house?,Can you deliver this to my house?
822,"I want to buy in bulk, got discount?","I want to buy in bulk, is there a discount?"
823,This one got how many pieces inside?,How many pieces are inside this?
824,Can I see other designs?,Can I see other designs?
825,This one got expiry date?,Does this have an expiry date?
826,Can I pay by instalments?,Can I pay in instalments?
827,This one got how many years warranty?,How many years warranty does this have?
828,Can I get a refund?,Can I get a refund?
829,This one got how many pages?,How many pages does this have?
830,Can I get a gift receipt?,Can I get a gift receipt?
831,This one got how many functions?,How many functions does this have?
832,Can I get a bag for this?,Can I get a bag for this?
833,This one got how many settings?,How many settings does this have?
834,Can I get a box for this?,Can I get a box for this?
835,This one got how many pieces?,How many pieces does this have?
836,Can I get a manual for this?,Can I get a manual for this?
837,This one got how many colours available?,How many colours are available for this?
838,Can I get a sample?,Can I get a sample?
839,This one got how many sizes?,How many sizes does this come in?
840,Can I get a replacement?,Can I get a replacement?
841,This one got how many models?,How many models does this have?
842,Can I get a different colour?,Can I get a different colour?
843,This one got how many versions?,How many versions does this have?
844,Can I get a different size?,Can I get a different size?
845,This one got how many options?,How many options does this have?
846,Can I get a different model?,Can I get a different model?
847,This one got how many features?,How many features does this have?
848,Can I get a different version?,Can I get a different version?
849,This one got how many accessories?,How many accessories does this have?
850,Can I get a different option?,Can I get a different option?
851,This one got how many attachments?,How many attachments does this have?
852,Can I get a different feature?,Can I get a different feature?
853,This one got how many compartments?,How many compartments does this have?
854,Can I get a different accessory?,Can I get a different accessory?
855,This one got how many pockets?,How many pockets does this have?
856,Can I get a different attachment?,Can I get a different attachment?
857,This one got how many shelves?,How many shelves does this have?
858,Can I get a different compartment?,Can I get a different compartment?
859,This one got how many drawers?,How many drawers does this have?
860,Can I get a different pocket?,Can I get a different pocket?
861,This one got how many buttons?,How many buttons does this have?
862,Can I get a different shelf?,Can I get a different shelf?
863,This one got how many zippers?,How many zippers does this have?
864,Can I get a different drawer?,Can I get a different drawer?
865,This one got how many straps?,How many straps does this have?
866,Can I get a different button?,Can I get a different button?
867,This one got how many handles?,How many handles does this have?
868,Can I get a different zipper?,Can I get a different zipper?
869,This one got how many wheels?,How many wheels does this have?
870,Can I get a different strap?,Can I get a different strap?
871,This one got how many lights?,How many lights does this have?
872,Can I get a different handle?,Can I get a different handle?
873,This one got how many speakers?,How many speakers does this have?
874,Can I get a different wheel?,Can I get a different wheel?
875,This one got how many ports?,How many ports does this have?
876,Can I get a different light?,Can I get a different light?
877,This one got how many plugs?,How many plugs does this have?
878,Can I get a different speaker?,Can I get a different speaker?
879,This one got how many cables?,How many cables does this have?
880,Can I get a different port?,Can I get a different port?
881,This one got how many adapters?,How many adapters does this have?
882,Can I get a different plug?,Can I get a different plug?
883,This one got how many chargers?,How many chargers does this have?
884,Can I get a different cable?,Can I get a different cable?
885,This one got how many batteries?,How many batteries does this have?
886,Can I get a different adapter?,Can I get a different adapter?
887,This one got how many remotes?,How many remotes does this have?
888,Can I get a different charger?,Can I get a different charger?
889,This one got how many screens?,How many screens does this have?
890,Can I get a different battery?,Can I get a different battery?
891,This one got how many keys?,How many keys does this have?
892,Can I get a different remote?,Can I get a different remote?
893,This one got how many knobs?,How many knobs does this have?
894,Can I get a different screen?,Can I get a different screen?
895,This one got how many switches?,How many switches does this have?
896,Can I get a different key?,Can I get a different key?
897,This one got how many buttons?,How many buttons does this have?
898,Can I get a different knob?,Can I get a different knob?
899,This one got how many dials?,How many dials does this have?
900,Can I get a different switch?,Can I get a different switch?
901,"Wah, the traffic jam so jialat today.","Wow, the traffic jam is so bad today."
902,"Eh, you know how to parallel park or not?","Hey, do you know how to parallel park?"
903,"Aiyo, why you drive so fast?","Oh dear, why are you driving so fast?"
904,Can you help me check the GPS?,Can you help me check the GPS?
905,I think we need to pump petrol soon.,I think we need to refuel soon.
906,Don't forget to signal before turning.,Don't forget to use the turn signal before turning.
907,"Wah, this carpark so expensive one.","Wow, this carpark is so expensive."
908,Can you help me look out for the exit?,Can you help me look out for the exit?
909,I kena summon last week for illegal parking.,I got a ticket last week for illegal parking.
910,"Better avoid the ERP gantry, very ex.","Better avoid the ERP gantry, it's very expensive."
911,You want to take PIE or ECP?,Do you want to take the PIE or the ECP?
912,I think we missed the exit lah.,I think we missed the exit.
913,Can you help me check the blind spot?,Can you help me check the blind spot?
914,"Wah, this car so chio!","Wow, this car is so beautiful!"
915,"Don't tailgate lah, very dangerous.","Don't tailgate, it's very dangerous."
916,I need to go for car servicing soon.,I need to go for car servicing soon.
917,Can you help me adjust the side mirror?,Can you help me adjust the side mirror?
918,"Wah, the carpark full already.","Wow, the carpark is already full."
919,I think we need to top up the cashcard.,I think we need to top up the cashcard.
920,Don't forget to renew your road tax.,Don't forget to renew your road tax.
921,Can you help me check the tyre pressure?,Can you help me check the tyre pressure?
922,"Wah, the weather so hot, turn on the aircon lah.","Wow, the weather is so hot, turn on the air conditioning."
923,I think we need to wash the car soon.,I think we need to wash the car soon.
924,Don't forget to bring your driving license.,Don't forget to bring your driving license.
925,"Wah, the road so bumpy.","Wow, the road is so bumpy."
926,Can you help me check the oil level?,Can you help me check the oil level?
927,I think we need to change the wipers.,I think we need to change the wipers.
928,"Wah, the car so dirty.","Wow, the car is so dirty."
929,Can you help me find a parking lot?,Can you help me find a parking spot?
930,Don't forget to lock the car.,Don't forget to lock the car.
931,"Wah, the traffic light so long.","Wow, the traffic light is taking so long."
932,Can you help me check the rearview mirror?,Can you help me check the rearview mirror?
933,I think we need to change the brake pads.,I think we need to change the brake pads.
934,"Wah, the car so smooth to drive.","Wow, the car is so smooth to drive."
935,Can you help me check the coolant level?,Can you help me check the coolant level?
936,I think we need to replace the battery.,I think we need to replace the battery.
937,"Wah, the car so powerful.","Wow, the car is so powerful."
938,Can you help me check the headlights?,Can you help me check the headlights?
939,I think we need to change the air filter.,I think we need to change the air filter.
940,"Wah, the car so quiet.","Wow, the car is so quiet."
941,Can you help me check the brake lights?,Can you help me check the brake lights?
942,I think we need to replace the spark plugs.,I think we need to replace the spark plugs.
943,"Wah, the car so spacious.","Wow, the car is so spacious."
944,Can you help me check the indicators?,Can you help me check the indicators?
945,I think we need to change the timing belt.,I think we need to change the timing belt.
946,"Wah, the car so fuel efficient.","Wow, the car is so fuel efficient."
947,Can you help me check the fog lights?,Can you help me check the fog lights?
948,I think we need to replace the tyres.,I think we need to replace the tyres.
949,"Wah, the car so fast.","Wow, the car is so fast."
950,Can you help me check the seat belts?,Can you help me check the seat belts?
951,I think we need to change the transmission fluid.,I think we need to change the transmission fluid.
952,"Wah, the car so reliable.","Wow, the car is so reliable."
953,Can you help me check the power steering?,Can you help me check the power steering?
954,I think we need to replace the alternator.,I think we need to replace the alternator.
955,"Wah, the car so comfortable.","Wow, the car is so comfortable."
956,Can you help me check the battery terminals?,Can you help me check the battery terminals?
957,I think we need to change the fuel filter.,I think we need to change the fuel filter.
958,"Wah, the car so stylish.","Wow, the car is so stylish."
959,Can you help me check the engine oil?,Can you help me check the engine oil?
960,I think we need to replace the radiator.,I think we need to replace the radiator.
961,"Wah, the car so easy to drive.","Wow, the car is so easy to drive."
962,Can you help me check the exhaust system?,Can you help me check the exhaust system?
963,I think we need to change the cabin filter.,I think we need to change the cabin filter.
964,"Wah, the car so high-tech.","Wow, the car is so high-tech."
965,Can you help me check the suspension?,Can you help me check the suspension?
966,I think we need to replace the windshield wipers.,I think we need to replace the windshield wipers.
967,"Wah, the car so smooth.","Wow, the car is so smooth."
968,Can you help me check the air conditioning?,Can you help me check the air conditioning?
969,I think we need to change the serpentine belt.,I think we need to change the serpentine belt.
970,"Wah, the car so quiet.","Wow, the car is so quiet."
971,Can you help me check the fuel gauge?,Can you help me check the fuel gauge?
972,I think we need to replace the timing chain.,I think we need to replace the timing chain.
973,"Wah, the car so powerful.","Wow, the car is so powerful."
974,Can you help me check the odometer?,Can you help me check the odometer?
975,I think we need to change the differential fluid.,I think we need to change the differential fluid.
976,"Wah, the car so efficient.","Wow, the car is so efficient."
977,Can you help me check the tachometer?,Can you help me check the tachometer?
978,I think we need to replace the drive belt.,I think we need to replace the drive belt.
979,"Wah, the car so sleek.","Wow, the car is so sleek."
980,Can you help me check the speedometer?,Can you help me check the speedometer?
981,I think we need to change the wheel bearings.,I think we need to change the wheel bearings.
982,"Wah, the car so responsive.","Wow, the car is so responsive."
983,Can you help me check the fuel injectors?,Can you help me check the fuel injectors?
984,I think we need to replace the ignition coil.,I think we need to replace the ignition coil.
985,"Wah, the car so advanced.","Wow, the car is so advanced."
986,Can you help me check the alternator belt?,Can you help me check the alternator belt?
987,I think we need to change the fuel pump.,I think we need to change the fuel pump.
988,"Wah, the car so luxurious.","Wow, the car is so luxurious."
989,Can you help me check the engine mounts?,Can you help me check the engine mounts?
990,I think we need to replace the water pump.,I think we need to replace the water pump.
991,"Wah, the car so sporty.","Wow, the car is so sporty."
992,Can you help me check the radiator hose?,Can you help me check the radiator hose?
993,I think we need to change the thermostat.,I think we need to change the thermostat.
994,"Wah, the car so eco-friendly.","Wow, the car is so eco-friendly."
995,Can you help me check the fuel line?,Can you help me check the fuel line?
996,I think we need to replace the catalytic converter.,I think we need to replace the catalytic converter.
997,"Wah, the car so futuristic.","Wow, the car is so futuristic."
998,Can you help me check the timing belt tensioner?,Can you help me check the timing belt tensioner?
999,I think we need to change the oxygen sensor.,I think we need to change the oxygen sensor.
1000,"Wah, the car so innovative.","Wow, the car is so innovative."
1001,"Wah, today walk so far ah.","Wow, we walked so far today."
1002,"Eh, you want to go for a walk later?","Hey, do you want to go for a walk later?"
1003,"I think I need to walk more, getting fat already.","I think I need to walk more, I'm getting fat."
1004,Let's walk to the hawker centre for lunch.,Let's walk to the food court for lunch.
1005,"Walking in the park is so relaxing, right?","Walking in the park is so relaxing, isn't it?"
1006,"Aiyo, why you walk so slow?","Oh dear, why are you walking so slowly?"
1007,I always walk to the MRT station every morning.,I always walk to the train station every morning.
1008,You walk here from your house ah?,Did you walk here from your house?
1009,"Walking in the rain is quite shiok, you know.","Walking in the rain is quite enjoyable, you know."
1010,I like to walk along the beach during sunset.,I like to walk along the beach during sunset.
1011,"Walk faster lah, we late already.","Walk faster, we're already late."
1012,I walk my dog every evening.,I walk my dog every evening.
1013,"Walking is good exercise, you should try.","Walking is good exercise, you should try it."
1014,"We can walk to the mall, it's not far.","We can walk to the mall, it's not far."
1015,I enjoy walking around the neighbourhood.,I enjoy walking around the neighbourhood.
1016,"Walk until so tired, need to rest a bit.","I'm so tired from walking, I need to rest a bit."
1017,Walking with friends is more fun.,Walking with friends is more fun.
1018,"I walk to work every day, save money on transport.",I walk to work every day to save money on transport.
1019,"Walk here so hot, need to drink water.","It's so hot walking here, I need to drink water."
1020,Walking in the morning is very refreshing.,Walking in the morning is very refreshing.
1021,"I like to walk after dinner, helps digestion.","I like to walk after dinner, it helps with digestion."
1022,Walk to the bus stop only five minutes.,It's only a five-minute walk to the bus stop.
1023,Walking in the city can be quite tiring.,Walking in the city can be quite tiring.
1024,I walk to the market every weekend.,I walk to the market every weekend.
1025,"Walk here so long, my legs pain already.","I've walked so long, my legs are hurting."
1026,Walking with music is more enjoyable.,Walking with music is more enjoyable.
1027,I walk to the library to borrow books.,I walk to the library to borrow books.
1028,Walk to the park and have a picnic?,Shall we walk to the park and have a picnic?
1029,Walking in the evening is very peaceful.,Walking in the evening is very peaceful.
1030,I walk to the gym for my workout.,I walk to the gym for my workout.
1031,Walk to the shop and buy some snacks.,Walk to the shop and buy some snacks.
1032,Walking in the mall is good exercise too.,Walking in the mall is good exercise too.
1033,I walk to the park to clear my mind.,I walk to the park to clear my mind.
1034,Walk to the bus stop and take bus 123.,Walk to the bus stop and take bus 123.
1035,Walking in the morning air is so fresh.,Walking in the morning air is so fresh.
1036,I walk to the coffee shop for breakfast.,I walk to the coffee shop for breakfast.
1037,Walk to the playground and play with the kids.,Walk to the playground and play with the kids.
1038,Walking in the rain can be quite fun.,Walking in the rain can be quite fun.
1039,I walk to the supermarket to buy groceries.,I walk to the supermarket to buy groceries.
1040,Walk to the park and do some exercise.,Walk to the park and do some exercise.
1041,Walking in the evening breeze is nice.,Walking in the evening breeze is nice.
1042,I walk to the bus interchange every day.,I walk to the bus interchange every day.
1043,Walk to the beach and enjoy the sunset.,Walk to the beach and enjoy the sunset.
1044,Walking in the park is a good way to relax.,Walking in the park is a good way to relax.
1045,I walk to the office to save on transport.,I walk to the office to save on transport.
1046,Walk to the hawker centre and eat dinner.,Walk to the food court and eat dinner.
1047,Walking in the rain without an umbrella is fun.,Walking in the rain without an umbrella is fun.
1048,I walk to the park to get some fresh air.,I walk to the park to get some fresh air.
1049,Walk to the MRT station and take the train.,Walk to the train station and take the train.
1050,Walking in the morning sun is very nice.,Walking in the morning sun is very nice.
1051,I walk to the market to buy fresh vegetables.,I walk to the market to buy fresh vegetables.
1052,Walk to the park and have a jog.,Walk to the park and have a jog.
1053,Walking in the evening is very calming.,Walking in the evening is very calming.
1054,I walk to the gym to stay fit.,I walk to the gym to stay fit.
1055,Walk to the shop and buy some drinks.,Walk to the shop and buy some drinks.
1056,Walking in the mall is quite tiring.,Walking in the mall is quite tiring.
1057,I walk to the park to relax.,I walk to the park to relax.
1058,Walk to the bus stop and take bus 45.,Walk to the bus stop and take bus 45.
1059,Walking in the morning is very refreshing.,Walking in the morning is very refreshing.
1060,I walk to the coffee shop for kopi.,I walk to the coffee shop for coffee.
1061,Walk to the playground and have fun.,Walk to the playground and have fun.
1062,Walking in the rain is quite enjoyable.,Walking in the rain is quite enjoyable.
1063,I walk to the supermarket every weekend.,I walk to the supermarket every weekend.
1064,Walk to the park and do some stretching.,Walk to the park and do some stretching.
1065,Walking in the evening breeze is very nice.,Walking in the evening breeze is very nice.
1066,I walk to the bus interchange every morning.,I walk to the bus interchange every morning.
1067,Walk to the beach and enjoy the view.,Walk to the beach and enjoy the view.
1068,Walking in the park is very relaxing.,Walking in the park is very relaxing.
1069,I walk to the office to save money.,I walk to the office to save money.
1070,Walk to the hawker centre and have dinner.,Walk to the food court and have dinner.
1071,Walking in the rain is quite fun.,Walking in the rain is quite fun.
1072,I walk to the park to get some exercise.,I walk to the park to get some exercise.
1073,Walk to the MRT station and take the train.,Walk to the train station and take the train.
1074,Walking in the morning sun is very refreshing.,Walking in the morning sun is very refreshing.
1075,I walk to the market to buy fresh fruits.,I walk to the market to buy fresh fruits.
1076,Walk to the park and have a run.,Walk to the park and have a run.
