index,question,answer
1506,How often do you play video games?,"Almost every day lor, after work need to relax mah."
1507,Do you play multiplayer games with friends?,"Of course lah, more fun to play with friends."
1508,What's the longest gaming session you've had?,"Wah, once played for 12 hours straight, really siao."
1509,Do you stream your gameplay?,"No lah, just play for fun only."
1510,Have you ever participated in a gaming tournament?,"Nope, not good enough for that kind of thing."
1511,What's the most challenging game you've played?,"Dark Souls, really can die many times one."
1512,Do you prefer single-player or multiplayer games?,"Depends on my mood lor, sometimes want to play alone, sometimes with friends."
1513,Have you ever completed a game 100%?,"Ya, completed Witcher 3 fully, took so long."
1514,Do you buy games on release day?,"Not always, wait for reviews first then decide."
1515,What's your favorite gaming console?,"PS5 lah, graphics damn good."
1516,Do you use a gaming headset?,"Ya, need to hear properly when playing FPS games."
1517,What's the most expensive game you've bought?,"Cyberpunk 2077, but a bit disappointed with the bugs."
1518,Do you prefer digital or physical game copies?,"Digital lah, easier to manage."
1519,Have you ever rage-quit a game?,"Got lah, sometimes too frustrating."
1520,Do you play any retro games?,"Sometimes lor, like to play old Mario games."
1521,What's your favorite game of all time?,"Hard to say leh, maybe Final Fantasy VII."
1522,Do you follow any gaming YouTubers?,"Ya, follow PewDiePie and Markiplier."
1523,Have you ever pre-ordered a game?,"Got lah, but now don't dare already, scared not good."
1524,Do you play any sports games?,"Not really, prefer action and adventure games."
1525,What's the last game you finished?,"Just finished Ghost of Tsushima, very nice."
1526,Do you play any indie games?,"Got lah, some indie games very creative."
1527,What's the scariest game you've played?,"Resident Evil 7, really can scare until cannot sleep."
1528,Do you play any simulation games?,"Sometimes play The Sims, quite fun to build houses."
1529,What's your favorite gaming snack?,"Potato chips lor, easy to eat while playing."
1530,Do you play any puzzle games?,"Ya, sometimes play Tetris to pass time."
1531,What's the most hours you've put into a game?,"Wah, maybe 200 hours in Skyrim."
1532,Do you play any VR games?,"Not yet, but want to try one day."
1533,What's your favorite game soundtrack?,"Final Fantasy series, the music very nice."
1534,Do you play any rhythm games?,"Sometimes play Beat Saber, very fun."
1535,What's the most frustrating game you've played?,"Sekiro, really can make people rage."
1536,Do you play any horror games?,"Not really, too scary for me."
1537,What's your favorite game developer?,"Maybe CD Projekt Red, their games very good."
1538,Do you play any fighting games?,Sometimes play Street Fighter with friends.
1539,What's the most beautiful game you've played?,"Horizon Zero Dawn, the graphics really stunning."
1540,Do you play any strategy games?,"Ya, sometimes play Civilization VI."
1541,What's your favorite game character?,"Maybe Geralt from The Witcher, very cool."
1542,Do you play any sandbox games?,"Ya, like to play Minecraft and build things."
1543,What's the funniest game you've played?,"Goat Simulator, really can laugh until stomach pain."
1544,Do you play any racing games?,Sometimes play Mario Kart with friends.
1545,What's the most emotional game you've played?,"The Last of Us, really can make people cry."
1546,Do you play any stealth games?,"Ya, like to play Assassin's Creed."
1547,What's the most unique game you've played?,"Journey, very different from other games."
1548,Do you play any survival games?,"Sometimes play Don't Starve, quite challenging."
1549,What's the most addictive game you've played?,"Maybe Candy Crush, can play non-stop."
1550,Do you play any co-op games?,"Ya, like to play Overcooked with friends."
1551,What's the most relaxing game you've played?,"Stardew Valley, very chill and relaxing."
1552,Do you play any roguelike games?,"Sometimes play Hades, very fun."
1553,What's the most nostalgic game for you?,"Super Mario 64, played it a lot when I was young."
1554,Do you play any card games?,"Sometimes play Hearthstone, quite fun."
1555,What's the most surprising game you've played?,"Undertale, didn't expect it to be so good."
1556,Do you play any educational games?,"Not really, prefer to play for fun."
1557,What's the most rewarding game you've played?,"Maybe Bloodborne, very satisfying to beat the bosses."
1558,Do you play any MMOs?,"Ya, sometimes play Final Fantasy XIV."
1559,What's the most immersive game you've played?,"Red Dead Redemption 2, really feel like you're in the game."
1560,Do you play any platformers?,"Ya, like to play Celeste, very challenging."
1561,What's the most creative game you've played?,"LittleBigPlanet, can create your own levels."
1562,Do you play any detective games?,"Sometimes play L.A. Noire, quite interesting."
1563,What's the most atmospheric game you've played?,"Bioshock, the setting very immersive."
1564,Do you play any open-world games?,"Ya, like to play GTA V and explore."
1565,What's the most underrated game you've played?,"Maybe Hollow Knight, very good but not many people know."
1566,Do you play any visual novels?,"Sometimes play Doki Doki Literature Club, very unique."
1567,What's the most overhyped game you've played?,"Maybe No Man's Sky, didn't live up to the hype at first."
1568,Do you play any rhythm games?,"Sometimes play Osu!, very fast-paced."
1569,What's the most beautiful game you've played?,"Ori and the Blind Forest, the art style very nice."
1570,Do you play any tower defense games?,"Sometimes play Bloons TD, quite fun."
1571,What's the most complex game you've played?,"Maybe Crusader Kings III, a lot to learn."
1572,Do you play any text-based games?,"Not really, prefer games with graphics."
1573,What's the most replayable game you've played?,"Maybe Skyrim, can play many times with different builds."
1574,Do you play any idle games?,"Sometimes play Cookie Clicker, very addictive."
1575,What's the most innovative game you've played?,"Portal, the puzzles very creative."
1576,Do you play any party games?,"Ya, like to play Jackbox with friends."
1577,What's the most relaxing game you've played?,"Animal Crossing, very chill and relaxing."
1578,Do you play any roguelike games?,"Sometimes play Dead Cells, very challenging."
1579,What's the most nostalgic game for you?,"Pokemon Red, played it a lot when I was young."
1580,Do you play any card games?,"Sometimes play Gwent, quite fun."
1581,What's the most surprising game you've played?,"Doki Doki Literature Club, didn't expect it to be so good."
1582,Do you play any educational games?,"Not really, prefer to play for fun."
1583,What's the most rewarding game you've played?,"Maybe Sekiro, very satisfying to beat the bosses."
1584,Do you play any MMOs?,"Ya, sometimes play World of Warcraft."
1585,What's the most immersive game you've played?,"The Witcher 3, really feel like you're in the game."
1586,Do you play any platformers?,"Ya, like to play Super Mario Odyssey, very fun."
1587,What's the most creative game you've played?,"Minecraft, can build anything you want."
1588,Do you play any detective games?,"Sometimes play Phoenix Wright, quite interesting."
1589,What's the most atmospheric game you've played?,"Limbo, the setting very immersive."
1590,Do you play any open-world games?,"Ya, like to play Breath of the Wild and explore."
1591,What's the most underrated game you've played?,"Maybe Celeste, very good but not many people know."
1592,Do you play any visual novels?,"Sometimes play Steins;Gate, very unique."
1593,What's the most overhyped game you've played?,"Maybe Anthem, didn't live up to the hype."
1594,Do you play any rhythm games?,"Sometimes play Dance Dance Revolution, very fun."
1595,What's the most beautiful game you've played?,"Gris, the art style very nice."
1596,Do you play any tower defense games?,"Sometimes play Plants vs. Zombies, quite fun."
1597,What's the most complex game you've played?,"Maybe Factorio, a lot to learn."
1598,Do you play any text-based games?,"Not really, prefer games with graphics."
1599,What's the most replayable game you've played?,"Maybe Hades, can play many times with different builds."
1600,Do you play any idle games?,"Sometimes play Adventure Capitalist, very addictive."
1701,Why didn't you reply to my text last night?,"Paiseh, I fell asleep early lah."
1702,Did you see the message I sent you?,"Ya, I saw it. Will reply you soon."
1703,Can you send me the address again?,"Sure, I send you now."
1704,Why are you taking so long to reply?,"Busy with work lah, sorry ah."
1705,Did you get my text about the meeting?,"Yes, I got it. Meeting at 3pm right?"
1706,Can you check your messages?,"Ok, I check now."
1707,Why are you always online but never reply?,"Aiyo, sometimes I forget to reply lah."
1708,Did you receive the photos I sent?,"Yes, I received. Nice photos!"
1709,Can you text me when you reach?,"Sure, I text you when I reach."
1710,Why did you leave me on read?,"Sorry, I was busy. Will reply now."
1711,Did you see my WhatsApp message?,"Yes, I saw it. Will reply soon."
1712,Can you send me the document via text?,"Ok, I send you now."
1713,Why didn't you respond to my text?,"Paiseh, I was in a meeting."
1714,Did you get my text about dinner plans?,"Yes, I got it. Let's meet at 7pm."
1715,Can you reply to my message?,"Ok, I reply now."
1716,Why are you ignoring my texts?,"No lah, just busy. Will reply soon."
1717,Did you see the link I sent you?,"Yes, I saw it. Interesting article."
1718,Can you text me the details?,"Sure, I text you now."
1719,Why didn't you text me back?,"Sorry, I was out. Will reply now."
1720,Did you get my text about the event?,"Yes, I got it. See you there."
1721,Can you check your phone?,"Ok, I check now."
1722,Why are you not replying to my messages?,"Aiyo, busy lah. Will reply soon."
1723,Did you receive my text?,"Yes, I received. Thanks."
1724,Can you send me the contact via text?,"Ok, I send you now."
1725,Why didn't you answer my text?,"Paiseh, I was driving."
1726,Did you get my message about the project?,"Yes, I got it. Will work on it."
1727,Can you reply to my text?,"Ok, I reply now."
1728,Why are you not responding to my texts?,Busy with something lah. Will reply soon.
1729,Did you see the video I sent?,"Yes, I saw it. Very funny!"
1730,Can you text me the time?,"Sure, I text you now."
1731,Why didn't you text me back last night?,"Sorry, I was too tired."
1732,Did you get my text about the appointment?,"Yes, I got it. See you there."
1733,Can you check your messages now?,"Ok, I check now."
1734,Why are you not replying to my texts?,"Aiyo, busy lah. Will reply soon."
1735,Did you receive my text?,"Yes, I received. Thanks."
1736,Can you send me the contact via text?,"Ok, I send you now."
1737,Why didn't you answer my text?,"Paiseh, I was driving."
1738,Did you get my message about the project?,"Yes, I got it. Will work on it."
1739,Can you reply to my text?,"Ok, I reply now."
1740,Why are you not responding to my texts?,Busy with something lah. Will reply soon.
1741,Did you see the video I sent?,"Yes, I saw it. Very funny!"
1742,Can you text me the time?,"Sure, I text you now."
1743,Why didn't you text me back last night?,"Sorry, I was too tired."
1744,Did you get my text about the appointment?,"Yes, I got it. See you there."
1745,Can you check your messages now?,"Ok, I check now."
1746,Why are you not replying to my texts?,"Aiyo, busy lah. Will reply soon."
1747,Did you receive my text?,"Yes, I received. Thanks."
1748,Can you send me the contact via text?,"Ok, I send you now."
1749,Why didn't you answer my text?,"Paiseh, I was driving."
1750,Did you get my message about the project?,"Yes, I got it. Will work on it."
1751,Can you reply to my text?,"Ok, I reply now."
1752,Why are you not responding to my texts?,Busy with something lah. Will reply soon.
1753,Did you see the video I sent?,"Yes, I saw it. Very funny!"
1754,Can you text me the time?,"Sure, I text you now."
1755,Why didn't you text me back last night?,"Sorry, I was too tired."
1756,Did you get my text about the appointment?,"Yes, I got it. See you there."
1757,Can you check your messages now?,"Ok, I check now."
1758,Why are you not replying to my texts?,"Aiyo, busy lah. Will reply soon."
1759,Did you receive my text?,"Yes, I received. Thanks."
1760,Can you send me the contact via text?,"Ok, I send you now."
1761,Why didn't you answer my text?,"Paiseh, I was driving."
1762,Did you get my message about the project?,"Yes, I got it. Will work on it."
1763,Can you reply to my text?,"Ok, I reply now."
1764,Why are you not responding to my texts?,Busy with something lah. Will reply soon.
1765,Did you see the video I sent?,"Yes, I saw it. Very funny!"
1766,Can you text me the time?,"Sure, I text you now."
1767,Why didn't you text me back last night?,"Sorry, I was too tired."
1768,Did you get my text about the appointment?,"Yes, I got it. See you there."
1769,Can you check your messages now?,"Ok, I check now."
1770,Why are you not replying to my texts?,"Aiyo, busy lah. Will reply soon."
1771,Did you receive my text?,"Yes, I received. Thanks."
1772,Can you send me the contact via text?,"Ok, I send you now."
1773,Why didn't you answer my text?,"Paiseh, I was driving."
1774,Did you get my message about the project?,"Yes, I got it. Will work on it."
1775,Can you reply to my text?,"Ok, I reply now."
1776,Why are you not responding to my texts?,Busy with something lah. Will reply soon.
1777,Did you see the video I sent?,"Yes, I saw it. Very funny!"
1778,Can you text me the time?,"Sure, I text you now."
1779,Why didn't you text me back last night?,"Sorry, I was too tired."
1780,Did you get my text about the appointment?,"Yes, I got it. See you there."
1781,Can you check your messages now?,"Ok, I check now."
1782,Why are you not replying to my texts?,"Aiyo, busy lah. Will reply soon."
1783,Did you receive my text?,"Yes, I received. Thanks."
1784,Can you send me the contact via text?,"Ok, I send you now."
1785,Why didn't you answer my text?,"Paiseh, I was driving."
1786,Did you get my message about the project?,"Yes, I got it. Will work on it."
1787,Can you reply to my text?,"Ok, I reply now."
1788,Why are you not responding to my texts?,Busy with something lah. Will reply soon.
1789,Did you see the video I sent?,"Yes, I saw it. Very funny!"
1790,Can you text me the time?,"Sure, I text you now."
1791,Why didn't you text me back last night?,"Sorry, I was too tired."
1792,Did you get my text about the appointment?,"Yes, I got it. See you there."
1793,Can you check your messages now?,"Ok, I check now."
1794,Why are you not replying to my texts?,"Aiyo, busy lah. Will reply soon."
1795,Did you receive my text?,"Yes, I received. Thanks."
1796,Can you send me the contact via text?,"Ok, I send you now."
1797,Why didn't you answer my text?,"Paiseh, I was driving."
1798,Did you get my message about the project?,"Yes, I got it. Will work on it."
1799,Can you reply to my text?,"Ok, I reply now."
1800,Why are you not responding to my texts?,Busy with something lah. Will reply soon.
1801,How was your weekend?,"Not bad lah, went to Sentosa with friends."
1802,Did you watch the latest movie?,"Ya, watched it last night. Quite nice leh."
1803,Where do you usually hang out?,Usually Clarke Quay or Orchard Road lor.
1804,Do you like going to the beach?,Of course! East Coast Park is my favourite.
1805,What did you have for lunch?,"Chicken rice, very shiok!"
1806,Are you free this weekend?,"Should be free, why leh?"
1807,Do you enjoy cooking?,"Not really, prefer to eat outside."
1808,How often do you exercise?,Try to go jogging twice a week.
1809,Do you like karaoke?,"Yes, love singing KTV with friends!"
1810,What's your favourite local dish?,"Laksa, confirm plus chop!"
1811,Do you play any sports?,Play badminton sometimes.
1812,How do you usually spend your evenings?,Watch TV or go out for dinner.
1813,Do you like shopping?,"Yes, especially during sales!"
1814,What's your favourite hobby?,I like reading books.
1815,Do you have any pets?,"No pets, but I like dogs."
1816,What's your favourite holiday destination?,"Japan, love the food and culture."
1817,Do you enjoy hiking?,"Not really, prefer indoor activities."
1818,What's your favourite TV show?,"Friends, can watch over and over."
1819,Do you like to read?,"Yes, especially mystery novels."
1820,What's your favourite type of music?,"Pop music, very catchy."
1821,Do you like to dance?,"Not really, a bit shy."
1822,What's your favourite drink?,"Teh tarik, very nice."
1823,Do you enjoy cooking?,"Sometimes, when I have time."
1824,What's your favourite dessert?,"Chendol, very refreshing."
1825,Do you like to travel?,"Yes, love exploring new places."
1826,What's your favourite season?,"Winter, because can see snow."
1827,Do you like to swim?,"Yes, swimming is fun."
1828,What's your favourite movie?,"Inception, very mind-blowing."
1829,Do you like to play video games?,"Yes, play a lot of FIFA."
1830,What's your favourite book?,"Harry Potter series, very magical."
1831,Do you like to go to concerts?,"Yes, love live music."
1832,What's your favourite ice cream flavour?,"Chocolate, very rich."
1833,Do you like to go to the gym?,"Sometimes, when I feel motivated."
1834,What's your favourite fruit?,"Mango, very sweet."
1835,Do you like to watch sports?,"Yes, especially football."
1836,What's your favourite flower?,"Orchid, very beautiful."
1837,Do you like to go to the zoo?,"Yes, love seeing the animals."
1838,What's your favourite colour?,"Blue, very calming."
1839,Do you like to go to the museum?,"Yes, very educational."
1840,What's your favourite snack?,"Potato chips, very crunchy."
1841,Do you like to go to the park?,"Yes, very relaxing."
1842,What's your favourite drink?,"Bubble tea, very nice."
1843,Do you like to go to the library?,"Yes, very quiet and peaceful."
1844,What's your favourite animal?,"Panda, very cute."
1845,Do you like to go to the cinema?,"Yes, love watching movies on big screen."
1846,What's your favourite vegetable?,"Broccoli, very healthy."
1847,Do you like to go to the beach?,"Yes, love the sea breeze."
1848,What's your favourite fast food?,"McDonald's, very convenient."
1849,Do you like to go to the mall?,"Yes, love shopping."
1850,What's your favourite type of weather?,Cool and breezy.
1851,Do you like to go to the aquarium?,"Yes, love seeing the fishes."
1852,What's your favourite type of cake?,"Cheesecake, very creamy."
1853,Do you like to go to the amusement park?,"Yes, love the rides."
1854,What's your favourite type of pizza?,"Pepperoni, very tasty."
1855,Do you like to go to the botanical garden?,"Yes, very beautiful flowers."
1856,What's your favourite type of sandwich?,"BLT, very delicious."
1857,Do you like to go to the night market?,"Yes, love the street food."
1858,What's your favourite type of soup?,"Tom yum, very spicy."
1859,Do you like to go to the art gallery?,"Yes, very inspiring."
1860,What's your favourite type of pasta?,"Carbonara, very creamy."
1861,Do you like to go to the theatre?,"Yes, love watching plays."
1862,What's your favourite type of salad?,"Caesar salad, very tasty."
1863,Do you like to go to the flea market?,"Yes, can find unique stuff."
1864,What's your favourite type of bread?,"Garlic bread, very fragrant."
1865,Do you like to go to the book fair?,"Yes, love buying new books."
1866,What's your favourite type of burger?,"Cheeseburger, very juicy."
1867,Do you like to go to the farmers' market?,"Yes, very fresh produce."
1868,What's your favourite type of pie?,"Apple pie, very sweet."
1869,Do you like to go to the craft fair?,"Yes, very creative items."
1870,What's your favourite type of cookie?,"Chocolate chip, very yummy."
1871,Do you like to go to the food festival?,"Yes, love trying new food."
1872,What's your favourite type of sushi?,"Salmon, very fresh."
1873,Do you like to go to the wine tasting?,"Yes, love trying different wines."
1874,What's your favourite type of cheese?,"Cheddar, very sharp."
1875,Do you like to go to the chocolate factory?,"Yes, love chocolate."
1876,What's your favourite type of tea?,"Green tea, very refreshing."
1877,Do you like to go to the bakery?,"Yes, love the smell of fresh bread."
1878,What's your favourite type of coffee?,"Latte, very smooth."
1879,Do you like to go to the ice cream parlour?,"Yes, love trying new flavours."
1880,What's your favourite type of donut?,"Glazed, very sweet."
1881,Do you like to go to the candy store?,"Yes, love all the sweets."
1882,What's your favourite type of muffin?,"Blueberry, very moist."
1883,Do you like to go to the juice bar?,"Yes, love fresh juices."
1884,What's your favourite type of smoothie?,"Mango, very refreshing."
1885,Do you like to go to the farmers' market?,"Yes, very fresh produce."
1886,What's your favourite type of jam?,"Strawberry, very sweet."
1887,Do you like to go to the deli?,"Yes, love the sandwiches."
1888,What's your favourite type of sandwich?,"BLT, very delicious."
1889,Do you like to go to the food truck?,"Yes, love the street food."
1890,What's your favourite type of taco?,"Fish taco, very tasty."
1891,Do you like to go to the food court?,"Yes, love the variety."
1892,What's your favourite type of noodle?,"Ramen, very flavourful."
1893,Do you like to go to the buffet?,"Yes, love the all-you-can-eat."
1894,What's your favourite type of curry?,"Chicken curry, very spicy."
1895,Do you like to go to the hotpot restaurant?,"Yes, love the soup base."
1896,What's your favourite type of dim sum?,"Siew mai, very tasty."
1897,Do you like to go to the seafood restaurant?,"Yes, love the fresh seafood."
1898,What's your favourite type of fish?,"Salmon, very fresh."
1899,Do you like to go to the steakhouse?,"Yes, love the juicy steaks."
1900,What's your favourite type of meat?,"Beef, very tender."
1901,What are the benefits of meditating?,"Got a lot lah, can reduce stress, improve focus, and make you feel more calm."
1902,How often should I meditate?,"Up to you lor, but better if can do everyday, even 10 minutes also good."
1903,Is it hard to start meditating?,"Not really lah, just need to find a quiet place and focus on your breathing."
1904,Can meditation help with anxiety?,"Yes, can help a lot. Many people say they feel less anxious after meditating."
1905,Do I need any special equipment to meditate?,"No need lah, just yourself and a quiet place can already."
1906,How long should I meditate each session?,"Start with 5-10 minutes first, then slowly increase if you can."
1907,Can I meditate lying down?,"Can, but better to sit so you don't fall asleep."
1908,What is mindfulness meditation?,It's about being present and aware of your thoughts and feelings without judging them.
1909,Can children meditate?,"Can, but must keep it short and simple for them."
1910,Is it okay to meditate with music?,"Can, as long as the music is calming and not distracting."
1911,What should I do if I can't stop thinking while meditating?,"It's normal lah, just gently bring your focus back to your breath."
1912,Can meditation improve my sleep?,"Yes, many people say they sleep better after meditating."
1913,Is it better to meditate in the morning or at night?,"Up to you, some people prefer morning, some prefer night. Try both and see which one you like."
1914,Can meditation help with pain management?,"Yes, can help you manage pain better by focusing your mind."
1915,Do I need to sit in a specific position to meditate?,"No need lah, just sit comfortably. Can sit on chair, floor, anything."
1916,Can I meditate while walking?,"Can, it's called walking meditation. Just walk slowly and focus on your steps."
1917,What is guided meditation?,"It's when someone guides you through the meditation, usually with audio or video."
1918,Can meditation help with depression?,"Can help, but if serious, better see a doctor also."
1919,How do I know if I'm meditating correctly?,"No right or wrong way lah, as long as you feel more relaxed and focused, it's good."
1920,Can I meditate with my eyes open?,"Can, but most people find it easier with eyes closed."
1921,What is transcendental meditation?,It's a type of meditation where you repeat a mantra to help you focus.
1922,Can meditation help with weight loss?,"Indirectly can, because it helps reduce stress and emotional eating."
1923,Is it normal to feel sleepy during meditation?,"Yes, especially if you're tired. Try to sit up straight to stay awake."
1924,Can I meditate in a noisy environment?,"Better to find a quiet place, but if cannot, just try to focus on your breath."
1925,What is loving-kindness meditation?,It's a type of meditation where you focus on sending love and kindness to yourself and others.
1926,Can meditation help with concentration?,"Yes, can improve your focus and concentration over time."
1927,Is it okay to meditate after eating?,"Better to wait a bit after eating, so you don't feel too full or sleepy."
1928,Can I meditate with a group?,"Can, some people find it more motivating to meditate with others."
1929,What is body scan meditation?,"It's a type of meditation where you focus on different parts of your body, one by one."
1930,Can meditation help with anger management?,"Yes, can help you stay calm and control your anger better."
1931,Is it okay to move during meditation?,"Try to stay still, but if you need to adjust, can move a bit lah."
1932,Can I meditate in bed?,"Can, but you might fall asleep. Better to sit up."
1933,What is Zen meditation?,"It's a type of meditation from Japan, focuses on sitting and breathing."
1934,Can meditation help with creativity?,"Yes, can help clear your mind and boost creativity."
1935,Is it okay to meditate multiple times a day?,"Can, as long as you have the time and it helps you."
1936,Can I meditate if I'm feeling sick?,"Can, but if very sick, better rest first."
1937,What is chakra meditation?,It's a type of meditation that focuses on balancing the energy centers in your body.
1938,Can meditation help with relationships?,"Yes, can help you be more patient and understanding."
1939,Is it okay to meditate with pets around?,"Can, as long as they don't disturb you too much."
1940,What is breath awareness meditation?,It's a type of meditation where you focus on your breathing.
1941,Can meditation help with addiction?,"Can help, but better to get professional help too."
1942,Is it okay to meditate in the dark?,"Can, some people find it more relaxing."
1943,Can I meditate if I'm pregnant?,"Can, but better to check with your doctor first."
1944,What is mantra meditation?,It's a type of meditation where you repeat a word or phrase to help you focus.
1945,Can meditation help with decision making?,"Yes, can help you think more clearly and make better decisions."
1946,Is it okay to meditate with a timer?,"Can, helps you keep track of time."
1947,Can I meditate if I'm feeling sad?,"Can, might help you feel better."
1948,What is visualization meditation?,It's a type of meditation where you imagine a peaceful scene or situation.
1949,Can meditation help with self-esteem?,"Yes, can help you feel more confident and positive about yourself."
1950,Is it okay to meditate with candles?,"Can, some people find it calming."
1951,Can I meditate if I'm feeling angry?,"Can, might help you calm down."
1952,What is sound meditation?,"It's a type of meditation where you focus on sounds, like singing bowls or nature sounds."
1953,Can meditation help with time management?,"Yes, can help you stay focused and organized."
1954,Is it okay to meditate with incense?,"Can, if you like the smell and it helps you relax."
1955,Can I meditate if I'm feeling restless?,"Can, might help you feel more calm."
1956,What is gratitude meditation?,It's a type of meditation where you focus on things you're grateful for.
1957,Can meditation help with productivity?,"Yes, can help you stay focused and get more done."
1958,Is it okay to meditate with essential oils?,"Can, if you like the smell and it helps you relax."
1959,Can I meditate if I'm feeling overwhelmed?,"Can, might help you feel more calm and in control."
1960,What is forgiveness meditation?,It's a type of meditation where you focus on forgiving yourself and others.
1961,Can meditation help with emotional regulation?,"Yes, can help you manage your emotions better."
1962,Is it okay to meditate with crystals?,"Can, if you believe in their benefits and it helps you focus."
1963,Can I meditate if I'm feeling bored?,"Can, might help you feel more engaged and present."
1964,What is compassion meditation?,It's a type of meditation where you focus on feeling compassion for yourself and others.
1965,Can meditation help with mental clarity?,"Yes, can help you think more clearly and make better decisions."
1966,Is it okay to meditate with a friend?,"Can, some people find it more motivating."
1967,Can I meditate if I'm feeling tired?,"Can, but if very tired, might fall asleep."
1968,What is nature meditation?,"It's a type of meditation where you focus on nature, like trees, water, or the sky."
1969,Can meditation help with self-awareness?,"Yes, can help you understand yourself better."
1970,Is it okay to meditate with a blanket?,"Can, if it makes you feel more comfortable."
1971,Can I meditate if I'm feeling stressed?,"Can, might help you feel more relaxed."
1972,What is focus meditation?,"It's a type of meditation where you focus on a single point, like a candle flame or a dot on the wall."
1973,Can meditation help with goal setting?,"Yes, can help you stay focused and motivated to achieve your goals."
1974,Is it okay to meditate with a journal?,"Can, some people like to write down their thoughts after meditating."
1975,Can I meditate if I'm feeling confused?,"Can, might help you clear your mind and find clarity."
1976,What is energy meditation?,It's a type of meditation where you focus on the energy in your body and how it flows.
1977,Can meditation help with resilience?,"Yes, can help you stay strong and bounce back from challenges."
1978,Is it okay to meditate with a stuffed animal?,"Can, if it makes you feel more comfortable and relaxed."
1979,Can I meditate if I'm feeling nervous?,"Can, might help you feel more calm and centered."
1980,What is spiritual meditation?,It's a type of meditation where you focus on connecting with a higher power or your inner self.
1981,Can meditation help with empathy?,"Yes, can help you understand and feel for others better."
1982,Is it okay to meditate with a fan on?,"Can, if the sound and breeze help you relax."
1983,Can I meditate if I'm feeling impatient?,"Can, might help you feel more patient and calm."
1984,What is sound bath meditation?,"It's a type of meditation where you listen to soothing sounds, like gongs or singing bowls."
1985,Can meditation help with self-discipline?,"Yes, can help you stay focused and stick to your goals."
1986,Is it okay to meditate with a water fountain?,"Can, if the sound of water helps you relax."
1987,Can I meditate if I'm feeling overwhelmed?,"Can, might help you feel more calm and in control."
1988,What is chakra balancing meditation?,It's a type of meditation where you focus on balancing the energy centers in your body.
1989,Can meditation help with self-love?,"Yes, can help you feel more positive and loving towards yourself."
1990,Is it okay to meditate with a diffuser?,"Can, if the scent helps you relax."
1991,Can I meditate if I'm feeling frustrated?,"Can, might help you feel more calm and centered."
1992,What is transcendental meditation?,It's a type of meditation where you repeat a mantra to help you focus.
1993,Can meditation help with self-awareness?,"Yes, can help you understand yourself better."
1994,Is it okay to meditate with a pillow?,"Can, if it makes you feel more comfortable."
1995,Can I meditate if I'm feeling anxious?,"Can, might help you feel more calm and relaxed."
1996,What is mindfulness meditation?,It's about being present and aware of your thoughts and feelings without judging them.
1997,Can meditation help with focus?,"Yes, can improve your focus and concentration over time."
1998,Is it okay to meditate with a blanket?,"Can, if it makes you feel more comfortable."
1999,Can I meditate if I'm feeling restless?,"Can, might help you feel more calm."
2000,What is loving-kindness meditation?,It's a type of meditation where you focus on sending love and kindness to yourself and others.
2001,How do you usually get to work?,"I usually take MRT lah, faster and no need to worry about traffic jam."
2002,Is the bus service reliable in your area?,"Quite okay lah, sometimes got delay but most of the time still can make it."
2003,Do you prefer taking the MRT or the bus?,"MRT better lah, more consistent timing and no traffic jam."
2004,How long does it take for you to commute to work?,"About 45 minutes lor, including walking time."
2005,Do you think public transport in Singapore is expensive?,"Not really lah, still affordable compared to other countries."
2006,Have you ever missed your stop on the MRT?,"Got lah, sometimes too tired then fall asleep."
2007,Do you use any apps to check bus arrival times?,"Ya, I use the SG Bus app, very useful."
2008,Do you think the MRT is crowded during peak hours?,"Confirm crowded one, especially in the morning and evening."
2009,Have you ever taken a taxi to work?,"Got lah, but only when I'm really late."
2010,Do you prefer taking Grab or a regular taxi?,"Grab lah, can book in advance and sometimes got promo code."
2011,How often do you take the bus?,"Almost every day lah, to go to work and come back home."
2012,Do you think the MRT is clean?,"Quite clean lah, they maintain it well."
2013,Have you ever experienced a breakdown on the MRT?,"Got lah, but not very often. Usually they fix it quite fast."
2014,Do you think the bus drivers are friendly?,"Most of them are okay lah, some very friendly."
2015,Do you use an EZ-Link card or a bank card for public transport?,"I use EZ-Link card, more convenient for me."
2016,Have you ever taken a night bus?,"Got lah, after late night out with friends."
2017,Do you think the MRT stations are well-connected?,"Ya, very well-connected, can go almost anywhere."
2018,Do you prefer sitting or standing on the MRT?,"Of course prefer sitting lah, but sometimes no choice must stand."
2019,Do you think the bus routes are easy to understand?,"Not too bad lah, but sometimes can be confusing."
2020,Have you ever taken a bus to Malaysia?,"Got lah, but very long journey."
2021,Do you think the MRT is safe?,"Ya, very safe, got CCTV and security."
2022,Do you use public transport on weekends?,"Sometimes lah, depends on where I go."
2023,Do you think the bus stops are conveniently located?,"Most of them are okay lah, near to my house."
2024,Have you ever lost something on the MRT?,"Got lah, but luckily someone returned it to lost and found."
2025,Do you think the MRT fares are reasonable?,"Still okay lah, not too expensive."
2026,Do you prefer taking the MRT or driving?,"MRT lah, no need to worry about parking."
2027,Have you ever taken a bus tour in Singapore?,"Got lah, when my relatives from overseas visit."
2028,Do you think the MRT is punctual?,"Most of the time lah, but sometimes got delay."
2029,Do you use public transport to go to the airport?,"Ya, take MRT to Changi Airport, very convenient."
2030,Do you think the bus fares are reasonable?,"Still okay lah, not too expensive."
2031,Have you ever taken a bus to Sentosa?,"Got lah, but usually take the monorail."
